index,위도,경도,수요 지수,인프라 지수,접근성 지수,합산 지수,순위
254,37.53526562399895,126.87039433185,0.4917894736842105,0.8355088046,0.3325658107056837,5.28688607271663,53
213,37.53974184351736,126.8646970393344,0.4705263157894737,0.9391832288,0.2862250184293756,5.273974389195594,54
165,37.51716323433732,126.85640158735832,0.5493148566866672,0.8521193651,0.1323932370136598,5.264914344347323,55
179,37.52393841788223,126.85917261716206,0.55537905013675,0.8879717909,0.0747067436227566,5.257631369866013,56
274,37.53302740757997,126.87324272272804,0.5242105263157896,0.9100156349,0.1400122975741166,5.2453190228429705,57
77,37.53055727630674,126.8336506954864,0.4046983541341575,0.8971572503,0.4984172818284658,5.219339189061876,58
234,37.53975703356943,126.86752673834404,0.5431578947368422,0.8739647153,0.1031549052713109,5.2131866095636745,59
148,37.52163879748365,126.8507048611015,0.4376326273143089,0.9786927157,0.3014746897580231,5.186130574801899,60
178,37.52168515123972,126.85919188992489,0.4457182185810859,0.882941152,0.3522514412281268,5.144694497942769,61
180,37.52619168365447,126.85915334225294,0.4687116187459832,0.9533137412,0.2119830008119116,5.1428631964997225,62
187,37.51719392860464,126.86205927281252,0.3843182598989976,0.8850152949,0.5332669762575288,5.142474101709043,63
233,37.53750376931692,126.86754577072494,0.5421052631578948,0.9392869711,0.0,5.131205521147368,64
321,37.53757869649713,126.88169387168745,0.3505263157894737,0.8261674833,0.6779693375955864,5.1114315365280145,65
105,37.51706952564589,126.83942858301886,0.4161748746245291,0.9216264172,0.3781422509996025,5.0965865841463796,66
190,37.52395373486012,126.86200171614507,0.570539533761957,0.8117568783,0.0153400347185656,5.077431028608873,67
183,37.50818084141515,126.862135985132,0.522784010342555,0.7451276606,0.2107654730319635,5.048490329319257,68
292,37.53304239059197,126.87607217268224,0.2644210526315789,0.7244562212,1.0,5.035438758189473,69
308,37.5330573058189,126.87890162472692,0.4907368421052632,0.7819043311,0.255436241154749,5.019102197141077,70
229,37.52849070360521,126.86762187905722,0.5837894736842105,0.7534984107,0.0019621764667914,5.013658016438846,71
290,37.528535848691206,126.87610971198256,0.3543157894736842,0.9653104909,0.4777770606080165,5.012069839858138,72
330,37.53308693291688,126.88456053504966,0.6077894736842105,0.6234080991,0.0582626449296286,5.010078330164521,73
76,37.52830402367582,126.83367074056784,0.4216111211725999,0.9305263803,0.298553166625335,4.987825820886269,74
