공원명,위도,경도,index,수요 지수,인프라 지수,접근성 지수,합산 지수,순위
다람쥐어린이공원,37.513486,126.866086,201,0.535471595542267,0.4433876744,0.1509319506903649,4.401468823434332,55
햇님어린이공원,37.539972,126.879436,311,0.4556619597055454,0.5443718226,0.2764638411608832,4.375643085755039,56
학마을어린이공원,37.509022,126.84361,113,0.4726827942375646,0.0,0.7641536506736765,4.364404066772741,57
영도어린이공원,37.535077,126.872954,275,0.4155763896916877,0.9101748775,0.0127044450546879,4.339216983259502,58
꿈나무어린이공원,37.517693,126.858437,176,0.4509377548246805,0.7429132431,0.0674833137162621,4.326419642580607,59
마장어린이공원,37.533518,126.864716,210,0.3691495995626436,0.9205220675,0.1235372184258602,4.303016169227582,60
양명어린이공원,37.519266,126.854492,156,0.270997553683066,0.7851789839,0.5312202819030531,4.258783853704502,61
연의공원,37.512717,126.833542,69,0.2650176678445229,0.9337059485,0.3903438094086005,4.238205522884339,62
신오어린이공원,37.53822,126.831558,59,0.4695729438280355,0.522181277,0.1610183334996296,4.183836883967472,63
신곡어린이공원,37.526273,126.845105,131,0.505960515120983,0.5252721271,0.02550072096048,4.137308786846857,64
경인어린이공원,37.532109,126.828852,36,0.4567939753382503,0.6349552492,0.0632608605433737,4.137196071516248,65
양지근린공원,37.5222,126.831005,52,0.415641364947417,0.8079318583,0.0049597489485809,4.119631404181663,66
달님어린이공원,37.535159,126.885538,331,0.4432059916221432,0.6964182504,0.0281002404378918,4.108272931408643,67
별님어린이공원,37.537803,126.875239,294,0.4538501825297777,0.5852873119,0.0988709220258945,4.091417563030456,68
당뒤어린이공원,37.541479,126.828569,40,0.4424988580445924,0.6722923514,0.0234769102803754,4.046531671628306,69
방아다리어린이공원,37.538693,126.828358,39,0.2282886913259914,0.8449272163,0.4544850099380407,3.96855660043203,70
장미어린이공원,37.534454,126.882792,320,0.4447912966509398,0.4999957977,0.0905001867521635,3.849739748809966,71
동개울어린이공원,37.527975,126.856515,170,0.3000815438977983,0.6848232473,0.2802889493049552,3.7307136565967003,72
돌다리어린이공원,37.532034,126.835777,96,0.2129106106009957,0.9122110505,0.2818306480167626,3.6655470606394998,73
넓은들어린이공원,37.511144,126.839205,102,0.3226420222886654,0.3903309393,0.3750195361305835,3.4665530845931594,74
신월어린이공원,37.527035,126.838188,109,0.3827192766347503,0.4331916097,0.1310532203931596,3.424805319994821,75
강신어린이공원,37.515553,126.838449,104,0.2005648274837457,0.9024446062,0.2027739980945098,3.413826173491494,76
숲속어린이공원,37.514682,126.830002,49,0.260668659961946,0.5993792737,0.3251756927269082,3.4131218926254925,77
안양천공원,37.522877,126.879048,303,0.315031258494156,0.6795708988,0.0529051661034668,3.3551396807718694,78
목련어린이공원,37.511472,126.858392,173,0.3125849415602065,0.5397884128,0.1845870746311093,3.3242606242234576,79
오솔길공원,37.521151,126.836556,91,0.1817212637784693,0.7873592244,0.3246759209795526,3.314397873429921,80
신월공원,37.518137,126.834492,71,0.279837750657667,0.6838202274,0.1100283704350574,3.2667236996161164,81
양천공원,37.518012,126.868162,224,0.1312856754552866,0.6645592713,0.5020895933570975,3.1210117820459145,82
진달래어린이공원,37.531899,126.870112,252,0.1965778235707819,0.8262127892,0.0693905698545805,2.9706736595338525,83
곰달래어린이공원,37.528759,126.837899,110,0.2070626080717721,0.5566954956,0.244388384456922,2.8445434085444763,84
한울근린공원,37.519799,126.832525,51,0.1332045020545396,0.6710017119,0.3311632408166941,2.803556917760626,85
강월어린이공원,37.515557,126.836291,88,0.1308219825055966,0.8061102401,0.1837932675624295,2.7647389103584383,86
오목공원,37.528005,126.873279,272,0.0,0.7095288123,0.498966461430601,2.416990547461202,87
온수도시자연공원,37.514628,126.836199,88,0.1308219825055966,0.7078785637,0.1017759556810184,2.4042409337956165,88
송죽어린이공원,37.539429,126.833885,81,0.2033805324052238,0.5025127838,0.0747935792575299,2.3748959205464026,89
목마공원,37.538174,126.885602,332,0.0514091773624049,0.8942756711,0.1171461443845876,2.3312986951436043,90
기린어린이공원,37.51367,126.872445,265,0.1092688230497417,0.5504240836,0.2231948836088111,2.202850872716072,91
신트리공원,37.514612,126.856483,164,0.0,0.8001986249,0.264813684915988,2.130024619631976,92
푸른어린이공원,37.511281,126.837884,86,0.1247621636314215,0.3139744073,0.353431339220515,2.083384474829559,93
서서울호수공원,37.528443,126.830473,55,0.0242583808619648,0.8197062597,0.1262144409311295,2.0373916864340478,94
신정소공원,37.506192,126.833035,66,0.2522424571894536,0.06807063854,0.059502859559724,1.7686017393361695,95
신월6동소공원3,37.515737,126.843973,126,0.049383132469,0.6316587061,0.0,1.5596162070139998,96
계남공원,37.514104,126.850051,145,0.1677086164718672,0.2717157575,0.0006569437809763,1.5509971013931556,97
음골어린이공원,37.52741,126.851241,151,0.0,0.7248175001,0.0,1.4496350002,98
목동공원,37.546521,126.879263,314,0.080850556468628,0.4593097188,0.0096961016920717,1.4231149797959113,99
용왕산공원,37.543358,126.878788,313,0.029667851253194,0.3223305156,0.0037041386575212,0.8300764160342062,100
양천도시농업공원,37.512982,126.826174,10,0.0,0.1180962278,0.0165666387347827,0.2693257330695654,101
