people,name,xcoord,ycoord,petNum,petSum,peopleSum,index
3061.0,신월동,942125,1947375,194.58582941860965,7375.0,116015,0.7321201750542129
2336.0,신월동,942125,1947625,148.498039046675,7375.0,116015,0.5587169973625093
,,942125,1947875,0.0,0.0,0,0.0
,,942375,1945625,0.0,0.0,0,0.0
125.0,신정동,942375,1945875,6.918639951426837,9116.0,164700,0.026031062526546227
170.0,신정동,942375,1946125,9.409350333940498,9116.0,164700,0.03540224503610287
216.0,신정동,942375,1946375,11.955409836065574,9116.0,164700,0.04498167604587188
2760.0,신월동,942375,1946625,175.451450243503,7375.0,116015,0.660127959212554
3273.0,신월동,942375,1946875,208.0625350170237,7375.0,116015,0.7828256559792353
2094.0,신정동,942375,1947125,115.90105646630236,9116.0,164700,0.4360723594447024
1900.0,신월동,942375,1947375,120.78179545748397,7375.0,116015,0.4544359139506713
2527.0,신월동,942375,1947625,160.63978795845364,7375.0,116015,0.6043997655543927
47.0,,942375,1947875,0.0,0.0,0,0.0
1680.0,신정동,942625,1945875,92.98652094717669,9116.0,164700,0.3498574803567813
928.0,신정동,942625,1946125,51.36398299939284,9116.0,164700,0.1932546081970792
617.0,신정동,942625,1946375,34.15040680024286,9116.0,164700,0.12848932463103216
1420.0,신정동,942625,1946625,78.59574984820887,9116.0,164700,0.2957128703015652
1341.0,신정동,942625,1946875,74.2231693989071,9116.0,164700,0.2792612387847879
1732.0,신정동,942625,1947125,95.86467516697024,9116.0,164700,0.3606864023678245
1277.0,신월동,942625,1947375,81.17808042063527,7375.0,116015,0.3054287695342143
1751.0,신정동,942625,1947625,96.91630843958713,9116.0,164700,0.36464312387185954
515.0,,942625,1947875,0.0,0.0,0,0.0
431.0,신정동,942875,1945875,23.855470552519733,9116.0,164700,0.0897551035915314
3752.0,신정동,942875,1946125,207.66989678202796,9116.0,164700,0.7813483727968117
1590.0,신정동,942875,1946375,88.00510018214936,9116.0,164700,0.331115115337668
702.0,신정동,942875,1946625,38.85508196721312,9116.0,164700,0.14619044714908364
997.0,신정동,942875,1946875,55.18307225258045,9116.0,164700,0.20762375471173272
1327.0,신정동,942875,1947125,73.4482817243473,9116.0,164700,0.27634575978181475
2592.0,신정동,942875,1947375,143.4649180327869,9116.0,164700,0.5397801125504627
3383.0,신정동,942875,1947625,187.2460716454159,9116.0,164700,0.704504676218447
794.0,신정동,942875,1947875,43.94720097146327,9116.0,164700,0.16534930916862164
,,943125,1945625,0.0,0.0,0,0.0
,신정동,943125,1945875,0.0,9116.0,164700,0.0
1435.0,신정동,943125,1946125,79.42598664238008,9116.0,164700,0.2988365978047507
,신정동,943125,1946375,0.0,9116.0,164700,0.0
2174.0,신정동,943125,1946625,120.32898603521556,9116.0,164700,0.4527322394616921
2862.0,신정동,943125,1946875,158.40918032786885,9116.0,164700,0.5960072076078025
1773.0,신정동,943125,1947125,98.13398907103826,9116.0,164700,0.36922459087653176
3001.0,신정동,943125,1947375,166.1027079538555,9116.0,164700,0.6249537491373218
2546.0,신정동,943125,1947625,140.91885853066182,9116.0,164700,0.5302006815406937
1104.0,신정동,943125,1947875,61.10542805100182,9116.0,164700,0.2299063442344563
,,943375,1945375,0.0,0.0,0,0.0
705.0,,943375,1945625,0.0,0.0,0,0.0
1150.0,신정동,943375,1945875,63.6514875531269,9116.0,164700,0.23948577524422532
1961.0,신정동,943375,1946125,108.5396235579842,9116.0,164700,0.4083753089164572
2329.0,신정동,943375,1946375,128.90809957498482,9116.0,164700,0.4850107569946093
1659.0,신정동,943375,1946625,91.82418943533698,9116.0,164700,0.34548426185232156
2080.0,신정동,943375,1946875,115.12616879174256,9116.0,164700,0.43315688044172923
1764.0,신정동,943375,1947125,97.63584699453553,9116.0,164700,0.3673503543746204
2198.0,신정동,943375,1947375,121.6573649058895,9116.0,164700,0.4577302034667889
1855.0,신정동,943375,1947625,102.67261687917426,9116.0,164700,0.386300967893946
1743.0,신정동,943375,1947875,96.47351548269582,9116.0,164700,0.3629771358701606
583.0,,943625,1945375,0.0,0.0,0,0.0
2069.0,신정동,943625,1945625,114.517328476017,9116.0,164700,0.4308661469393932
2866.0,신정동,943625,1945875,158.6305768063145,9116.0,164700,0.5968402016086519
3100.0,신정동,943625,1946125,171.58227079538554,9116.0,164700,0.6455703506583464
2497.0,신정동,943625,1946375,138.2067516697025,9116.0,164700,0.5199965050302875
1521.0,신정동,943625,1946625,84.18601092896175,9116.0,164700,0.31674596882301453
1959.0,신정동,943625,1946875,108.4289253187614,9116.0,164700,0.40795881191603256
1180.0,신정동,943625,1947125,65.31196114146934,9116.0,164700,0.2457332302505964
2258.0,신정동,943625,1947375,124.97831208257438,9116.0,164700,0.47022511347953105
