"동별(1)",동별(2),동별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020
"동별(1)",동별(2),동별(3),종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
"동별(1)",동별(2),동별(3),소계,단독주택,단독주택,단독주택,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택
"동별(1)",동별(2),동별(3),소계,소계,일반단독주택,다가구주택,영업겸용주택,소계,소계,소계,소계
"서울시",성북구,안암동,4022,1179,301,665,213,1209,214,1282,138
"서울시",성북구,보문동,4580,988,309,502,177,2491,42,965,94
"서울시",성북구,정릉1동,5856,577,188,280,109,4535,72,628,44
"서울시",성북구,정릉2동,8211,923,548,290,85,3105,739,3401,43
"서울시",성북구,정릉3동,5359,1537,1103,299,135,756,1148,1860,58
"서울시",성북구,정릉4동,8993,590,296,200,94,5173,876,2303,51
"서울시",성북구,길음1동,11859,97,35,47,15,11470,37,234,21
"서울시",성북구,길음2동,5855,519,263,174,82,5152,32,113,39
"서울시",성북구,월곡1동,8267,1021,310,543,168,6228,93,882,43
"서울시",성북구,월곡2동,5672,1213,355,669,189,3384,172,815,88
"서울시",성북구,장위1동,6134,1482,511,824,147,90,462,4010,90
"서울시",성북구,장위2동,4120,1751,501,1049,201,347,196,1731,95
"서울시",성북구,장위3동,6078,909,466,384,59,4619,199,327,24
"서울시",성북구,성북동,5605,2391,1765,448,178,630,769,1729,86
"서울시",성북구,삼선동,6987,2002,846,857,299,2897,284,1676,128
"서울시",성북구,동선동,4298,1129,375,519,235,1086,400,1548,135
"서울시",성북구,종암동,12235,1419,466,751,202,8072,328,2296,120
"서울시",성북구,석관동,10472,2582,856,1333,393,4830,99,2850,111
"서울시",강북구,소계,97452,17557,4814,10222,2521,34733,4789,39331,1042
"서울시",강북구,번1동,4529,1672,261,1183,228,880,86,1803,88
"서울시",강북구,번2동,6723,290,86,156,48,2625,224,3558,26
"서울시",강북구,번3동,7257,35,5,12,18,6861,66,271,24
"서울시",강북구,수유1동,6781,1541,579,736,226,622,494,4051,73
"서울시",강북구,수유2동,7243,868,154,532,182,2640,204,3412,119
"서울시",강북구,수유3동,5962,1793,230,1237,326,301,247,3485,136
"서울시",강북구,삼양동,7808,1885,870,839,176,2647,612,2606,58
"서울시",강북구,미아동,6555,1470,211,1017,242,1100,444,3450,91
"서울시",강북구,송중동,8803,1991,505,1214,272,2985,475,3261,91
"서울시",강북구,송천동,7165,3011,909,1734,368,1255,208,2568,123
"서울시",강북구,삼각산동,11376,50,13,21,16,11291,X,24,11
"서울시",강북구,우이동,7122,1134,425,573,136,856,640,4415,77
"서울시",강북구,인수동,10128,1817,566,968,283,670,1089,6427,125
"서울시",도봉구,소계,107156,8634,1412,5586,1636,65032,4144,28620,726
"서울시",도봉구,쌍문1동,7530,948,338,499,111,1971,753,3811,47
"서울시",도봉구,쌍문2동,6473,645,125,418,102,2973,270,2533,52
"서울시",도봉구,쌍문3동,5022,814,120,555,139,1930,171,2055,52
"서울시",도봉구,쌍문4동,6835,91,38,39,14,6120,88,525,11
"서울시",도봉구,방학1동,8331,1070,55,781,234,4495,352,2314,100
"서울시",도봉구,방학2동,6149,1072,70,782,220,234,845,3907,91
"서울시",도봉구,방학3동,9698,65,38,11,16,9237,45,337,14
"서울시",도봉구,창1동,9024,399,37,272,90,7314,293,976,42
"서울시",도봉구,창2동,8798,665,52,443,170,2942,343,4788,60
"서울시",도봉구,창3동,3977,1083,161,692,230,1163,120,1571,40
"서울시",도봉구,창4동,10132,X,X,X,X,10045,48,38,X
"서울시",도봉구,창5동,8681,146,15,101,30,6948,112,1428,47
"서울시",도봉구,도봉1동,6964,1140,247,693,200,1107,659,3922,136
"서울시",도봉구,도봉2동,9542,495,116,300,79,8553,45,415,34
"서울시",노원구,소계,189213,6619,2132,3332,1155,163502,3448,14948,696
"서울시",노원구,월계1동,7568,638,151,392,95,4503,239,2124,64
"서울시",노원구,월계2동,11477,131,19,85,27,10866,173,294,13
"서울시",노원구,월계3동,12688,45,14,25,6,12617,X,16,10
"서울시",노원구,공릉2동,12923,538,47,378,113,10880,325,1122,58
"서울시",노원구,하계1동,10466,152,32,67,53,9283,440,560,31
"서울시",노원구,하계2동,8160,X,X,X,X,8160,X,X,X
"서울시",노원구,중계본동,8088,767,690,45,32,6158,192,933,38
"서울시",노원구,중계1동,8743,X,X,X,X,8733,X,X,6
"서울시",노원구,중계4동,7706,95,29,44,22,7317,25,230,39
"서울시",노원구,상계1동,13410,326,38,183,105,10902,418,1686,78
"서울시",노원구,상계2동,6042,674,44,452,178,3908,200,1181,79
"서울시",노원구,상계5동,7347,1044,114,736,194,4133,202,1873,95
"서울시",노원구,상계8동,9090,X,X,X,X,9090,X,X,X
"서울시",노원구,상계9동,8260,X,X,X,X,8258,X,X,X
"서울시",노원구,상계10동,6422,X,X,X,X,6422,X,X,X
"서울시",노원구,상계3.4동,9292,1410,925,411,74,5308,871,1647,56
"서울시",노원구,상계6.7동,13648,X,X,X,X,13647,X,X,X
"서울시",노원구,중계2.3동,14301,X,X,X,X,14245,56,X,X
"서울시",노원구,공릉1동,13582,794,27,512,255,9072,307,3282,127
"서울시",은평구,소계,150658,14937,4223,8111,2603,59438,5830,69210,1243
"서울시",은평구,녹번동,12546,1058,199,681,178,5206,540,5653,89
"서울시",은평구,불광1동,13601,1113,373,573,167,7280,489,4643,76
"서울시",은평구,갈현1동,7330,1482,659,635,188,928,493,4315,112
"서울시",은평구,갈현2동,9400,930,260,468,202,1406,413,6533,118
"서울시",은평구,구산동,10543,738,228,351,159,2645,571,6531,58
"서울시",은평구,대조동,8662,1190,246,698,246,2061,159,5134,118
"서울시",은평구,응암1동,7341,607,110,362,135,2762,198,3697,77
"서울시",은평구,응암2동,9263,466,112,282,72,7485,57,1224,31
"서울시",은평구,신사1동,9417,589,155,267,167,2999,476,5291,62
"서울시",은평구,신사2동,6580,1056,347,571,138,2394,383,2690,57
"서울시",은평구,증산동,4864,771,236,436,99,1857,600,1598,38
"서울시",은평구,수색동,3114,280,138,102,40,2192,150,467,25
"서울시",은평구,진관동,17146,257,205,32,20,16634,220,20,15
"서울시",은평구,불광2동,8970,1618,480,958,180,882,483,5920,67
"서울시",은평구,응암3동,6999,1294,176,873,245,925,105,4551,124
"서울시",은평구,역촌동,14882,1488,299,822,367,1782,493,10943,176
"서울시",서대문구,소계,101036,12600,2726,8128,1746,54132,5461,27910,933
"서울시",서대문구,천연동,6081,522,120,328,74,5109,112,306,32
"서울시",서대문구,홍제1동,8022,619,115,399,105,4961,553,1824,65
"서울시",서대문구,홍제3동,4969,881,238,513,130,2469,195,1364,60
"서울시",서대문구,홍제2동,4993,257,41,180,36,4109,58,545,24
"서울시",서대문구,홍은1동,7308,1132,434,578,120,5041,274,808,53
"서울시",서대문구,홍은2동,9267,959,154,689,116,2514,895,4840,59
"서울시",서대문구,남가좌1동,5609,43,X,23,19,5250,186,104,26
"서울시",서대문구,남가좌2동,8979,995,87,705,203,5759,124,2023,78
"서울시",서대문구,북가좌1동,6089,286,24,231,31,4770,192,821,20
"서울시",서대문구,북가좌2동,10603,1197,101,904,192,2016,737,6556,97
"서울시",서대문구,충현동,6573,1350,541,684,125,3197,544,1428,54
"서울시",서대문구,북아현동,5298,702,188,433,81,4099,95,360,42
"서울시",서대문구,신촌동,5570,1114,182,704,228,1565,249,2476,166
"서울시",서대문구,연희동,11675,2543,500,1757,286,3273,1247,4455,157
"서울시",마포구,소계,122311,11618,2855,6332,2431,70307,3142,35643,1601
"서울시",마포구,용강동,7309,218,60,98,60,6067,72,899,53
"서울시",마포구,대흥동,3335,1066,320,602,144,1591,6,601,71
"서울시",마포구,염리동,3186,564,186,281,97,1931,24,626,41
"서울시",마포구,신수동,7508,651,119,381,151,5227,171,1387,72
"서울시",마포구,서교동,9189,1361,275,710,376,2420,355,4613,440
"서울시",마포구,합정동,6319,666,108,430,128,1070,282,4164,137
"서울시",마포구,망원1동,7047,920,158,556,206,1492,434,4082,119
"서울시",마포구,망원2동,6467,421,32,248,141,2629,262,3054,101
"서울시",마포구,연남동,5648,1174,297,658,219,881,250,3210,133
