"정류장_ID","정류장_명칭","정류장_유형","정류장_번호","위도","경도","버스도착정보안내기_설치_여부"
"121000988","서초포레스타입구","일반차로","22398","37.4577070000","127.0591440000","미설치  "
"121001302","반포종합운동장","일반차로","22977","37.5002180000","126.9966710000","미설치  "
"121001303","더케이호텔정문","일반차로","22770","37.4664260000","127.0328680000","미설치  "
"121001304","하이브랜드","일반차로","22684","37.4621160000","127.0367550000","미설치  "
"121001306","AT센터","일반차로","22750","37.4701260000","127.0392360000","미설치  "
"121001307","AT센터","일반차로","22636","37.4687180000","127.0391730000","미설치  "
"121001308","KT연구개발센터","일반차로","22777","37.4706340000","127.0304940000","설치   "
"121001309","삼성전자서울R&D","일반차로","22774","37.4658440000","127.0233080000","미설치  "
"121001310","성촌마을","일반차로","22775","37.4665500000","127.0208040000","미설치  "
"121001311","반포대교(가상)","가상정류장","22998","37.5098280000","126.9969560000","미설치  "
"121001312","반포대교(가상)","가상정류장","22988","37.5090190000","126.9974280000","미설치  "
"121001313","네이처힐.LH서초아파트","일반차로","22779","37.4604670000","127.0241560000","미설치  "
"121001314","사당역","중앙차로","21028","37.4748230000","126.9817220000","설치   "
"121001315","사당역","중앙차로","22028","37.4742190000","126.9820500000","설치   "
"121001316","센트럴시티","일반차로","0","37.5046000000","127.0047000000","미설치  "
"121001317","센트럴시티","일반차로","0","37.5046000000","127.0051000000","미설치  "
"121001318","내방역제일병원","일반차로","22801","37.4880250000","126.9953170000","미설치  "
"121001319","세빛섬","일반차로","22918","37.5087480000","126.9945430000","미설치  "
"121001320","교대역.법원검찰청","일반차로","22921","37.4932790000","127.0127930000","미설치  "
"121001321","세빛섬","일반차로","22917","37.5105820000","126.9980210000","미설치  "
"121001322","고속터미널","일반차로","22943","37.5043840000","127.0012440000","미설치  "
"121001323","서래마을","일반차로","22944","37.5001770000","127.0038070000","미설치  "
"121001324","사당역10번출구앞","일반차로","20601","37.4785640000","126.9816130000","미설치  "
"121001325","사당역14번출구","일반차로","22851","37.4766630000","126.9829130000","미설치  "
"121001326","삼성래미안","일반차로","22200","37.5028530000","126.9951620000","미설치  "
"121001327","내방역1번출구","일반차로","22415","37.4879930000","126.9953350000","미설치  "
"121001328","대법원앞","일반차로","22426","37.4916700000","127.0065290000","미설치  "
"121001329","서리풀문화광장","일반차로","22608","37.4910030000","127.0054960000","미설치  "
"121001330","옛골","일반차로","22341","37.4305370000","127.0707730000","미설치  "
"121001331","이수교차로(가상)","가상정류장","0","37.5009470000","126.9837850000","미설치  "
"121001332","염곡마을.서초50플러스센터","중앙차로","22036","37.4615600000","127.0494730000","설치   "
"121001333","염곡마을.서초50플러스센터","중앙차로","22035","37.4611250000","127.0508100000","설치   "
"121001334","탑성마을.서초포레스타입구","중앙차로","22038","37.4575720000","127.0587260000","설치   "
"121001335","탑성마을.서초포레스타입구","중앙차로","22037","37.4577580000","127.0586900000","설치   "
"121001336","안골마을.서울언남초등학교","중앙차로","22040","37.4557080000","127.0631290000","설치   "
"121001337","안골마을.서울언남초등학교","중앙차로","22039","37.4557500000","127.0633060000","설치   "
"121001338","샘마을.서울특별시어린이병원","중앙차로","22042","37.4568050000","127.0701060000","설치   "
"121001339","샘마을.서울특별시어린이병원","중앙차로","22041","37.4571770000","127.0709050000","설치   "
"121500030","서울고속터미널(경부내부)","일반차로","22971","37.5056000000","127.0073000000","미설치  "
"121500040","서울고속터미널(경부내부)","일반차로","22978","37.5057000000","127.0076000000","미설치  "
"121500090","서울남부터미널","일반차로","22974","37.4843000000","127.0159000000","미설치  "
"121500100","남부터미널","일반차로","22155","37.4842000000","127.0156000000","미설치  "
"121900001","방배동래미안타워","일반차로","22256","37.4746740000","126.9905860000","미설치  "
"121900002","한국소비자원","마을버스","22100","37.4660930000","127.0438250000","미설치  "
"121900003","롯데캐슬헤론아파트","마을버스","22227","37.4972740000","126.9852050000","미설치  "
"121900004","서초소방서","마을버스","22338","37.4983510000","126.9925520000","미설치  "
"121900005","헌인가구단지","마을버스","22343","37.4596880000","127.0866990000","미설치  "
"121900006","내방역8번출구","마을버스","22344","37.4880350000","126.9947560000","미설치  "
"121900007","교대역5번출구","마을버스","22345","37.4938000000","127.0147370000","미설치  "
"121900008","예술의전당","마을버스","22267","37.4804200000","127.0133410000","미설치  "
"121900009","사당역1번출구","마을버스","22363","37.4761750000","126.9827010000","미설치  "
"121900010","남부시장","마을버스","22364","37.4950770000","126.9858170000","미설치  "
"121900011","서초구민체육센터","마을버스","22380","37.4983820000","126.9903070000","미설치  "
"121900012","헌인마을","마을버스","22383","37.4615400000","127.0901410000","미설치  "
