people,name,xcoord,ycoord,petNum,petSum,peopleSum
4514.0,목동,944625,1947625,252.57873284347704,8072.0,144260
,목동,944625,1947875,,8072.0,144260
444.0,목동,944625,1948125,24.84380978788299,8072.0,144260
2490.0,목동,944625,1948375,139.32677110772218,8072.0,144260
1835.0,목동,944625,1948625,102.67655621793983,8072.0,144260
1869.0,목동,944625,1948875,104.57901012061555,8072.0,144260
1354.0,목동,944625,1949125,75.76242894773326,8072.0,144260
2504.0,목동,944625,1949375,140.11013447941218,8072.0,144260
2774.0,목동,944625,1949625,155.2178566477194,8072.0,144260
1144.0,목동,944625,1949875,64.0119783723832,8072.0,144260
,,944875,1945625,,,0
,,944875,1945875,,,0
,신정동,944875,1946125,,9116.0,164700
2997.0,신정동,944875,1946375,165.88131147540983,9116.0,164700
3126.0,신정동,944875,1946625,173.02134790528234,9116.0,164700
3317.0,신정동,944875,1946875,183.59302975106255,9116.0,164700
2902.0,신정동,944875,1947125,160.62314511232543,9116.0,164700
1802.0,목동,944875,1947375,100.83005684181339,8072.0,144260
436.0,목동,944875,1947625,24.3961735754887,8072.0,144260
1683.0,목동,944875,1947875,94.17146818244835,8072.0,144260
956.0,목동,944875,1948125,53.492527381117426,8072.0,144260
1256.0,목동,944875,1948375,70.27888534590323,8072.0,144260
1035.0,목동,944875,1948625,57.912934978511025,8072.0,144260
2004.0,목동,944875,1948875,112.13287120476917,8072.0,144260
1681.0,목동,944875,1949125,94.05955912934978,8072.0,144260
1229.0,목동,944875,1949375,68.7681131290725,8072.0,144260
2077.0,목동,944875,1949625,116.21755164286705,8072.0,144260
1438.0,목동,944875,1949875,80.46260917787329,8072.0,144260
,,945125,1946125,,,0
,,945125,1946375,,,0
,,945125,1946625,,,0
,,945125,1946875,,,0
1159.0,신정동,945125,1947125,64.14962962962963,9116.0,164700
451.0,,945125,1947375,,,0
,목동,945125,1947625,,8072.0,144260
,목동,945125,1947875,,8072.0,144260
,목동,945125,1948125,,8072.0,144260
2331.0,목동,945125,1948375,130.4300013863857,8072.0,144260
1853.0,목동,945125,1948625,103.68373769582698,8072.0,144260
1156.0,목동,945125,1948875,64.68343269097463,8072.0,144260
2012.0,목동,945125,1949125,112.58050741716346,8072.0,144260
866.0,목동,945125,1949375,48.456619991681684,8072.0,144260
131.0,목동,945125,1949625,7.3300429779564675,8072.0,144260
357.0,목동,945125,1949875,19.975765978095104,8072.0,144260
,,945125,1950125,,,0
,,945375,1947625,,,0
,목동,945375,1947875,,8072.0,144260
,목동,945375,1948125,,8072.0,144260
1220.0,목동,945375,1948375,68.26452239012893,8072.0,144260
1964.0,목동,945375,1948625,109.89469014279773,8072.0,144260
1665.0,목동,945375,1948875,93.1642867045612,8072.0,144260
2718.0,목동,945375,1949125,152.08440316095937,8072.0,144260
3703.0,목동,945375,1949375,207.1996118120061,8072.0,144260
1434.0,목동,945375,1949625,80.23879107167615,8072.0,144260
242.0,목동,945375,1949875,13.540995424927214,8072.0,144260
,,945375,1950125,,,0
,,945625,1947625,,,0
,,945625,1947875,,,0
,목동,945625,1948125,,8072.0,144260
2887.0,목동,945625,1948375,161.5407181477887,8072.0,144260
1957.0,목동,945625,1948625,109.50300845695273,8072.0,144260
227.0,목동,945625,1948875,12.701677526687925,8072.0,144260
,목동,945625,1949125,,8072.0,144260
