left,bottom,동물병원개수,약국개수
944568.2212,1945650.9498,0,0
944568.2212,1945900.9498,0,0
944568.2212,1946150.9498,0,0
944568.2212,1946400.9498,0,0
944318.2212,1947150.9498,0,0
944318.2212,1947400.9498,1,1
944318.2212,1947650.9498,0,1
944318.2212,1947900.9498,0,0
944318.2212,1946150.9498,0,0
944318.2212,1946400.9498,1,1
944318.2212,1946650.9498,1,1
944318.2212,1946900.9498,0,0
944318.2212,1945150.9498,0,0
944318.2212,1945400.9498,0,0
944318.2212,1945650.9498,0,0
944318.2212,1945900.9498,0,0
944568.2212,1949650.9498,0,0
944568.2212,1949900.9498,0,0
944318.2212,1944900.9498,0,0
945568.2212,1949650.9498,0,0
945568.2212,1948650.9498,0,2
945568.2212,1948900.9498,0,0
945568.2212,1949150.9498,0,0
945568.2212,1949400.9498,0,0
945568.2212,1947650.9498,0,0
945568.2212,1947900.9498,0,0
945568.2212,1948150.9498,0,0
945568.2212,1948400.9498,0,0
945318.2212,1949150.9498,0,0
945318.2212,1949400.9498,0,0
945318.2212,1949650.9498,0,0
945318.2212,1949900.9498,0,0
945318.2212,1948150.9498,0,0
945318.2212,1948400.9498,0,0
945318.2212,1948650.9498,0,0
945318.2212,1948900.9498,0,0
945318.2212,1947400.9498,0,0
945318.2212,1947650.9498,0,0
945318.2212,1947900.9498,0,0
945068.2212,1947650.9498,0,0
945068.2212,1947900.9498,0,0
945068.2212,1948150.9498,0,0
945068.2212,1948400.9498,0,0
945068.2212,1946650.9498,0,0
945068.2212,1946900.9498,0,0
945068.2212,1947150.9498,0,0
945068.2212,1947400.9498,0,0
945068.2212,1946400.9498,0,0
940568.2212,1948650.9498,1,0
940568.2212,1948900.9498,0,1
940568.2212,1949150.9498,0,0
940568.2212,1949400.9498,0,0
940568.2212,1947650.9498,0,0
940568.2212,1947900.9498,0,0
940568.2212,1948150.9498,0,0
940568.2212,1948400.9498,0,2
940568.2212,1946650.9498,0,0
940568.2212,1946900.9498,0,0
940568.2212,1947150.9498,0,0
940568.2212,1947400.9498,0,0
940568.2212,1945650.9498,0,0
940568.2212,1945900.9498,0,0
940568.2212,1946150.9498,0,0
940568.2212,1946400.9498,0,0
940318.2212,1947150.9498,0,0
940318.2212,1947400.9498,0,0
940318.2212,1947900.9498,0,0
940318.2212,1946150.9498,0,0
940318.2212,1946400.9498,0,0
940318.2212,1946650.9498,0,0
940318.2212,1946900.9498,0,0
940318.2212,1945650.9498,0,0
940318.2212,1945900.9498,0,0
940568.2212,1949650.9498,0,0
940568.2212,1949900.9498,0,0
946068.2212,1947900.9498,0,0
946068.2212,1948150.9498,0,0
940068.2212,1945900.9498,0,0
946068.2212,1948400.9498,0,0
940068.2212,1946150.9498,0,0
940068.2212,1946400.9498,0,0
945818.2212,1948150.9498,0,0
945818.2212,1948400.9498,0,0
940318.2212,1949150.9498,0,0
945818.2212,1948650.9498,0,0
940318.2212,1949400.9498,0,0
945818.2212,1948900.9498,0,0
940318.2212,1949650.9498,0,0
940318.2212,1949900.9498,0,0
940318.2212,1948150.9498,0,0
940318.2212,1948400.9498,0,0
945818.2212,1947900.9498,0,0
940318.2212,1948650.9498,0,0
940318.2212,1948900.9498,0,0
940068.2212,1948650.9498,0,0
940068.2212,1948900.9498,0,0
940068.2212,1949150.9498,0,0
940068.2212,1948150.9498,0,0
940068.2212,1948400.9498,0,0
940068.2212,1946650.9498,0,0
941318.2212,1948150.9498,0,1
941318.2212,1948400.9498,0,0
941318.2212,1947150.9498,0,0
941318.2212,1947400.9498,0,0
941318.2212,1947650.9498,0,0
941318.2212,1947900.9498,0,0
941318.2212,1946150.9498,0,0
941318.2212,1946400.9498,1,0
941318.2212,1946650.9498,1,2
941318.2212,1946900.9498,0,0
941068.2212,1947650.9498,0,0
941068.2212,1947900.9498,0,0
941068.2212,1948150.9498,0,2
941068.2212,1948400.9498,0,0
941068.2212,1946650.9498,0,0
941068.2212,1946900.9498,1,0
941068.2212,1947150.9498,0,3
941068.2212,1947400.9498,0,0
941068.2212,1945650.9498,0,0
941068.2212,1945900.9498,0,0
941068.2212,1946150.9498,0,0
941068.2212,1946400.9498,0,0
941068.2212,1944900.9498,0,0
941068.2212,1945150.9498,0,0
941068.2212,1945400.9498,0,0
940818.2212,1946150.9498,1,1
940818.2212,1946400.9498,0,0
940818.2212,1946650.9498,0,0
940818.2212,1946900.9498,0,0
940818.2212,1945150.9498,0,0
940818.2212,1945400.9498,0,0
940818.2212,1945650.9498,0,0
940818.2212,1945900.9498,0,3
941068.2212,1948650.9498,0,0
941068.2212,1948900.9498,0,0
941068.2212,1949150.9498,0,0
940818.2212,1949150.9498,0,1
940818.2212,1949400.9498,0,0
940818.2212,1949650.9498,0,0
940818.2212,1948150.9498,0,1
940818.2212,1948400.9498,0,0
