fid,left,bottom,동물병원개수,약국개수
"189",940318.2212,1949650.9498,0,0
"190",940318.2212,1949900.9498,0,0
"191",940318.2212,1948150.9498,0,0
"192",940318.2212,1948400.9498,0,0
"193",945818.2212,1947900.9498,0,0
"194",940318.2212,1948650.9498,0,0
"195",940318.2212,1948900.9498,0,0
"196",940068.2212,1948650.9498,0,0
"197",940068.2212,1948900.9498,0,0
"198",940068.2212,1949150.9498,0,0
"199",940068.2212,1948150.9498,0,0
"200",940068.2212,1948400.9498,0,0
"201",940068.2212,1946650.9498,0,0
"202",941318.2212,1948150.9498,0,1
"203",941318.2212,1948400.9498,0,0
"204",941318.2212,1947150.9498,0,0
"205",941318.2212,1947400.9498,0,0
"206",941318.2212,1947650.9498,0,0
"207",941318.2212,1947900.9498,0,0
"208",941318.2212,1946150.9498,0,0
"209",941318.2212,1946400.9498,1,0
"210",941318.2212,1946650.9498,1,2
"211",941318.2212,1946900.9498,0,0
"212",941068.2212,1947650.9498,0,0
"213",941068.2212,1947900.9498,0,0
"214",941068.2212,1948150.9498,0,2
"215",941068.2212,1948400.9498,0,0
"216",941068.2212,1946650.9498,0,0
"217",941068.2212,1946900.9498,1,0
"218",941068.2212,1947150.9498,0,3
"219",941068.2212,1947400.9498,0,0
"220",941068.2212,1945650.9498,0,0
"221",941068.2212,1945900.9498,0,0
"222",941068.2212,1946150.9498,0,0
"223",941068.2212,1946400.9498,0,0
"224",941068.2212,1944900.9498,0,0
"225",941068.2212,1945150.9498,0,0
"226",941068.2212,1945400.9498,0,0
"227",940818.2212,1946150.9498,1,1
"228",940818.2212,1946400.9498,0,0
"229",940818.2212,1946650.9498,0,0
"230",940818.2212,1946900.9498,0,0
"231",940818.2212,1945150.9498,0,0
"232",940818.2212,1945400.9498,0,0
"233",940818.2212,1945650.9498,0,0
"234",940818.2212,1945900.9498,0,3
"235",941068.2212,1948650.9498,0,0
"236",941068.2212,1948900.9498,0,0
"237",941068.2212,1949150.9498,0,0
"238",940818.2212,1949150.9498,0,1
