공원명,위도,경도,중심점인덱스,중심점위도,중심점경도
문화어린이공원,37.521225,126.842752,119,37.5215918339213,126.842217851848
태양어린이공원,37.524402,126.838609,108,37.523829301704,126.839368984907
당뒤어린이공원,37.541479,126.828569,40,37.5417914486973,126.827890922875
방아다리어린이공원,37.538693,126.828358,39,37.5395382030162,126.827911149408
송죽어린이공원,37.539429,126.833885,81,37.5395702781199,126.833570492834
신오어린이공원,37.53822,126.831558,59,37.5373010266153,126.830760959146
강신어린이공원,37.515553,126.838449,104,37.5148162652183,126.839448444631
강월어린이공원,37.515557,126.836291,88,37.5148004112786,126.836619703301
금실어린이공원,37.518107,126.837347,89,37.5170536704234,126.836599756648
아동어린이공원,37.523108,126.833341,74,37.523797515801,126.833710824034
개나리어린이공원,37.517726,126.862761,187,37.5171939286046,126.862059272812
꽃사과어린이공원,37.520132,126.86468,204,37.5194624449749,126.86486902038
꿈나무어린이공원,37.517693,126.858437,176,37.5171786153438,126.859230429012
단지어린이공원,37.519825,126.854312,156,37.5194010514738,126.853553309285
양명어린이공원,37.519266,126.854492,156,37.5194010514738,126.853553309285
해태어린이공원,37.521708,126.861996,189,37.5217004669784,126.862020903837
신세계어린이공원,37.521716,126.875912,287,37.5217760293158,126.876166005259
신정어린이공원,37.520501,126.874747,268,37.5195077787099,126.873355826067
꽃사슴어린이공원,37.52177,126.848515,139,37.5216232107189,126.84787585583
넓은들어린이공원,37.511144,126.839205,102,37.5103097417509,126.839488161223
숲속어린이공원,37.514682,126.830002,49,37.5147685001824,126.830962227313
신기어린이공원,37.514055,126.854326,154,37.5148945188261,126.853592184267
신이어린이공원,37.512554,126.837592,87,37.5125471512629,126.836639647733
푸른어린이공원,37.511281,126.837884,86,37.5102938903764,126.836659589945
하늘마루어린이공원,37.512645,126.83173,48,37.5125152427484,126.830982341805
학마을어린이공원,37.509022,126.84361,113,37.5080722610803,126.84233650468
동개울어린이공원,37.527975,126.856515,170,37.5284295613268,126.856304798191
새뚝어린이공원,37.524125,126.857773,179,37.5239384178822,126.859172617162
안산어린이공원,37.524624,126.856207,168,37.5239230331421,126.856343520325
앞산어린이공원,37.526441,126.858394,180,37.5261916836544,126.859153342252
오구어린이공원,37.527327,126.861956,191,37.5262070018715,126.861982526315
은행정어린이공원,37.522057,126.855005,167,37.5216697677442,126.856362878158
음골어린이공원,37.52741,126.851241,151,37.5283985835489,126.850646270658
진주어린이공원,37.526554,126.855049,169,37.5261762976696,126.856324160336
홍익어린이공원,37.528578,126.862293,192,37.5284602680127,126.861963334349
기린어린이공원,37.51367,126.872445,265,37.5127479525311,126.873412349404
까치어린이공원,37.515011,126.86832,223,37.5149710789347,126.867735978009
꿈나래어린이공원,37.51636,126.869759,246,37.5172394619107,126.87054581699
꿈동산어린이공원,37.521958,126.867486,226,37.5217308951852,126.867678938062
다람쥐어린이공원,37.513486,126.866086,201,37.5127026297982,126.864926309104
사슴어린이공원,37.515706,126.873442,266,37.5150012287939,126.87339351039
목련어린이공원,37.511472,126.858392,173,37.5104188049733,126.859288221553
세양어린이공원,37.506788,126.864108,198,37.505942806791,126.864983578692
호돌이어린이공원,37.512595,126.861548,185,37.5126873867501,126.862097633243
오목공원,37.528005,126.873279,272,37.5285208681031,126.873280432238
달마을근린공원,37.543498,126.868468,236,37.5442635594638,126.867488667223
목동공원,37.546521,126.879263,314,37.5465769178828,126.878789467505
용왕산공원,37.543358,126.878788,313,37.5443236513803,126.87880816558
