fid,val,위도,경도,가장가까운인프라지수
"48",1456,37.5102619844436,126.831002454059,0.3
"49",2654,37.5125152427485,126.830982341806,0.35
"50",959,37.5147685001824,126.830962227313,0
"51",1282,37.5170217567454,126.830942110581,0
"52",615,37.5192750124373,126.830921991608,0
"53",1919,37.5215282672583,126.830901870395,0
"54",2007,37.5237815212083,126.830881746941,0
"55",,37.5260347742872,126.830861621246,0
"56",112,37.528288026495,126.83084149331,0.25
"57",1597,37.5305412778318,126.830821363132,0.1
"58",1474,37.5327945282974,126.830801230712,0
"59",2064,37.5350477778919,126.830781096051,0
"60",2168,37.5373010266154,126.830760959147,0
"61",1402,37.5395542744676,126.83074082,0.1
"62",743,37.5418075214487,126.83072067861,0
"63",490,37.5440607675585,126.830700534978,0
"64",,37.5463140127972,126.830680389102,0
"65",,37.5485672571646,126.830660240982,0
"66",,37.5035181872537,126.833891089205,0
"67",928,37.5057714494646,126.833871068662,0
"68",21,37.5080247108047,126.833851045889,0
"69",736,37.510277971274,126.833831020887,0
"70",975,37.5125312308724,126.833810993655,0
"71",219,37.5147844895999,126.833790964192,0
"72",1292,37.5170377474566,126.833770932499,0
"73",1628,37.5192910044423,126.833750898576,0.25
"74",1673,37.5215442605571,126.833730862421,0.3
"75",1931,37.523797515801,126.833710824035,0
"76",1074,37.5260507701739,126.833690783417,0
"77",2094,37.5283040236758,126.833670740568,0
"78",2010,37.5305572763067,126.833650695486,0.2
"79",2671,37.5328105280666,126.833630648173,0
"80",2399,37.5350637789555,126.833610598626,0
"81",1722,37.5373170289732,126.833590546847,0
"82",939,37.5395702781199,126.833570492835,0
"83",558,37.5418235263955,126.833550436589,0
"84",,37.5035341024924,126.836719403257,0
"85",401,37.5057873659912,126.836699467707,0
"86",0,37.5080406286192,126.836679529936,0
"87",459,37.5102938903765,126.836659589945,0
"88",2478,37.5125471512629,126.836639647734,0
"89",604,37.5148004112786,126.836619703302,0.25
"90",2193,37.5170536704235,126.836599756648,0.45
"91",1249,37.5193069286975,126.836579807774,0
"92",839,37.5215601861007,126.836559856678,0
"93",2160,37.523813442633,126.83653990336,0
"94",837,37.5260666982944,126.83651994782,0
"95",2208,37.5283199530849,126.836499990058,0
"96",1824,37.5305732070045,126.836480030073,0.1
"97",983,37.5328264600532,126.836460067866,0
"98",115,37.5350797122308,126.836440103435,0
"99",32,37.5373329635375,126.836420136781,0
"100",,37.5035499500196,126.839547719529,0
"101",,37.5058032148007,126.839527868971,0
"102",328,37.5080564787111,126.839508016203,0
"103",1187,37.5103097417509,126.839488161224,0
"104",2232,37.51256300392,126.839468304034,0
"105",926,37.5148162652183,126.839448444632,0.35
"106",2067,37.5170695256459,126.839428583019,0.25
"107",2502,37.5193227852027,126.839408719194,0
"108",2152,37.5215760438888,126.839388853157,0
"109",3180,37.5238293017041,126.839368984908,0.1
"110",1767,37.5260825586485,126.839349114446,0
"111",956,37.5283358147222,126.839329241771,0
"112",,37.5305890699249,126.839309366883,0
"113",76,37.505818995893,126.842356272447,0
"114",1739,37.5080722610804,126.842336504681,0
"115",1019,37.5103255253971,126.842316734713,0
"116",2651,37.5125787888433,126.842296962545,0
"117",3569,37.5148320514188,126.842277188174,0
"118",2561,37.5170853131237,126.842257411601,0.55
"119",2186,37.5193385739579,126.842237632826,0
"120",2088,37.5215918339213,126.842217851848,0.5
"121",2133,37.5238450930141,126.842198068668,0.1
"122",1283,37.5260983512361,126.842178283284,0
"123",59,37.5058347092678,126.845184678123,0
"124",1824,37.5080879757267,126.84516499536,0
"125",618,37.510341241315,126.845145310405,0
"126",161,37.5125945060328,126.845125623258,0
"127",228,37.51484776988,126.845105933918,0
"128",2497,37.5171010328567,126.845086242386,0
"129",2626,37.5193542949627,126.845066548661,0.25
"130",2045,37.5216075561981,126.845046852742,0
"131",3061,37.5238608165628,126.845027154631,0
"132",2336,37.5261140760569,126.845007454326,0
"133",,37.5283673346803,126.844987751826,0
"134",,37.50810362265,126.847993488231,0
"135",125,37.5103568895044,126.847973888288,0
"136",170,37.5126101554883,126.847954286163,0
"137",216,37.5148634206018,126.847934681855,0
"138",2760,37.5171166848447,126.847915075363,0.1
"139",3273,37.5193699482171,126.847895466688,0
"140",2094,37.5216232107189,126.84787585583,0
"141",1900,37.5238764723502,126.847856242788,0
"142",2527,37.5261297331108,126.847836627561,0
"143",47,37.5283829930009,126.84781701015,0
"144",1680,37.5103724699651,126.850802468354,0
"145",928,37.5126257372097,126.850782951251,0
"146",617,37.5148790035838,126.850763431974,0
"147",1420,37.5171322690876,126.850743910524,0
"148",1341,37.5193855337208,126.8507243869,0.3
"149",1732,37.5216387974836,126.850704861102,0.35
"150",1277,37.5238920603759,126.850685333129,0
"151",1751,37.5261453223977,126.850665802981,0
"152",515,37.528398583549,126.850646270658,0
"153",431,37.5103879826969,126.853631050593,0
"154",3752,37.5126412511967,126.853611618513,0.1
"155",1590,37.5148945188261,126.853592184268,0.25
"156",702,37.5171477855852,126.853572747859,0.25
"157",997,37.5194010514738,126.853553309286,0
"158",1327,37.5216543164921,126.853533868547,0
"159",2592,37.52390758064,126.853514425644,0
"160",3383,37.5261608439174,126.853494980576,0
"161",794,37.5284141063244,126.853475533342,0
"162",,37.50815015708,126.8564789799,0
"163",,37.5104034276997,126.856459634996,0
