정류장_ID,정류장_명칭,위도,경도
114000289,신정교입구,37.518575,126.873613
114000292,신월청소년문화센터,37.535452,126.826442
114000293,계남초등학교,37.510125,126.857763
114000294,신목동역-서울지방식품의약품안전청,37.543643,126.88353
114000368,목동역,37.525367,126.864285
114000369,목동역,37.525335,126.864726
114000370,갈산초등학교,37.512936,126.870005
114000371,갈산초등학교,37.513046,126.870384
114000372,화곡입구,37.536993,126.827222
114000373,화곡입구,37.537099,126.827728
114000374,서서울호수공원,37.529306,126.832411
114000375,서서울호수공원,37.529494,126.832835
114000376,국립과학수사연구소,37.522685,126.836314
114000377,국립과학수사연구소,37.523023,126.836618
114000378,서부트럭터미널,37.508293,126.843016
114000379,서부트럭터미널,37.507827,126.843788
114000380,대일고등학교,37.539409,126.863878
114000381,목동사거리,37.53049,126.864073
114000395,양천공영차고지,37.508412,126.837418
114000396,경서농협,37.521363,126.856298
114000397,기아부품,37.538787,126.832781
114000399,강서보건소,37.548989,126.868087
114000401,우리은행앞,37.535934,126.827744
114000402,보람쉬움아파트,37.5298,126.835482
114000403,보람쉬움아파트.신영시장,37.529904,126.835242
114000404,신정이펜하우스3단지,37.514121,126.830415
114000405,신정이펜하우스2단지,37.514504,126.830539
114000406,신정교입구,37.519173,126.87322
114000407,신정교입구,37.519074,126.872957
114000408,오목교역,37.523328,126.875375
114000409,오목교역,37.52344,126.875152
114000410,목동운동장남문.아이스링크,37.527871,126.876455
114000411,목동현대백화점,37.528169,126.87418
114000412,양천우체국.목동운동장북문,37.532549,126.877482
114000413,목동4단지상가.목동종합운동장,37.531787,126.875019
114000414,파리공원,37.534394,126.878119
114000415,목동3단지,37.535111,126.87596
114000416,목동5단지,37.535816,126.881448
114000417,목동2단지,37.535972,126.876807
114000418,이대목동병원,37.537373,126.886062
114000419,목동1단지,37.537777,126.881481
114000420,신목동역,37.543751,126.883465
114000421,신목동역,37.543465,126.883367
114000422,도시가스사업소,37.546732,126.874432
114000423,이펜하우스1단지.어르신요양센터,37.513244,126.828913
114000424,신정이펜하우스5단지.서남병원,37.511199,126.833468
114000425,신정이펜하우스3.4단지,37.511293,126.83046
114000426,신정1동주민센터.신오새마을금고,37.517203,126.854371
114000427,목동13단지,37.514516,126.869302
114000428,오목교역,37.52507,126.876383
114000429,목동13단지,37.513527,126.868028
114000430,양천어르신요양센터,37.513618,126.828443
114000431,신정이펜하우스1단지아파트,37.513987,126.82808
114000432,양서중학교,37.532796,126.830243
114000433,화곡4동주민센터.남부시장,37.534673,126.863445
114000434,용왕산,37.539131,126.874232
114000435,신정이펜하우스1단지.새금성교회,37.514448,126.828504
114000436,신정역2번출구,37.525493,126.858041
114000437,신정역3번출구,37.525154,126.857984
114000438,목동아파트1216동앞,37.511505,126.862188
114000439,목동아파트1218동앞,37.511717,126.863621
114900001,우신웨스트빌.목동보건지소,37.539463,126.869038
114900002,한성교회.금옥여고.백암고,37.510785,126.843065
114900003,목동문화체육센터.건영아파트,37.541756,126.869035
114900004,신정현대아파트.서부트럭터미널,37.508427,126.841261
114900005,팔복부동산.목동교회,37.543895,126.870383
114900006,동일하이빌아파트,37.510014,126.840816
114900007,푸른마을아파트3단지,37.512079,126.836588
114900008,신서초교,37.520635,126.862167
114900009,목동6단지상가.이대병원입구,37.53685,126.884542
114900010,오목교역.대학학원,37.524811,126.874157
114900011,목동10단지,37.518937,126.856625
114900012,기독교방송국.현대백화점,37.528049,126.874146
114900013,신정1동주민센터,37.518365,126.854713
114900014,목동2단지상가,37.536543,126.878006
114900015,신정네거리.신정119안전센터,37.521949,126.850865
114900016,목동4단지상가.목동종합운동장,37.532092,126.875069
114900017,목동1단지상가.이대병원입구,37.537843,126.88175
114900018,학마을2단지아파트,37.508967,126.844108
114900019,목동3.4단지사잇길,37.532671,126.871699
114900020,한신청구아파트,37.53969,126.881575
114900021,청기와네거리,37.519094,126.843571
114900022,학마을2단지아파트,37.508838,126.844281
114900023,곰달래길입구,37.534117,126.869639
114900024,한신아파트,37.540686,126.880172
114900025,농협.영도초등학교,37.535918,126.87055
114900026,목동센트럴1단지,37.516427,126.840707
114900027,신목중학교,37.537078,126.871902
114900028,목동2단지후문,37.538121,126.873536
114900029,목동센트럴2단지,37.51553,126.841031
114900030,성원.극동아파트,37.538004,126.871647
114900031,벽산.대주아파트,37.51439,126.84153
114900032,대림.수정아파트,37.512338,126.842443
114900033,목동역.5호선5번출구,37.525744,126.865337
114900034,한신청구아파트정문,37.539818,126.881617
114900035,목동8단지천주교,37.522598,126.868882
114900036,목동3.4단지사잇길,37.532798,126.871644
114900037,우성아파트.월촌초등학교,37.540842,126.87571
114900038,목동3단지후문,37.534193,126.869911
114900039,성원.극동아파트,37.538007,126.871785
114900040,목동9단지B상가,37.518265,126.860685
114900041,현대아파트.월드메르디앙아파트,37.539052,126.869913
114900042,우신웨스트빌.목동보건지소,37.540239,126.868808
114900043,신정네거리해누리분수광장,37.521973,126.851366
114900044,거산아파트,37.540197,126.831971
114900045,청기와네거리,37.519766,126.843899
114900046,목동YMCA,37.538876,126.882851
114900047,목2동주민센터,37.546695,126.871333
114900048,신곡시장,37.518745,126.842581
114900049,목동센트럴2단지.이마트24,37.515745,126.840815
114900050,벽산.대주아파트,37.514561,126.841348
114900051,대림.수정아파트,37.512299,126.84235
114900052,한성교회.백암고,37.511108,126.842932
114900053,금옥여고.대우미래사랑아파트,37.509665,126.843683
114900054,동일하이빌아파트,37.510144,126.840652
114900055,넓은들공원,37.510899,126.838976
114900056,양천노인요양병원,37.513356,126.828905
114900057,신은초등학교,37.513337,126.833538
114900058,양천어르신요양센터,37.513441,126.828909
114900059,서울남부지법,37.521681,126.862984
114900060,하이스트학원.종로학원,37.524882,126.869434
114900061,한신아파트,37.540755,126.880357
114900062,목동8단지.한전.출입국관리사무소,37.520246,126.868331
114900063,용왕산입구,37.538088,126.873106
114900064,목동문화체육센터.건영아파트,37.54185,126.869198
114900065,팔복부동산.목동교회,37.543849,126.870499
114900066,신정네거리.2호선4번출구,37.519545,126.853318
114900067,양동중학교,37.547522,126.868752
114900068,목동센트럴1단지,37.516552,126.840471
114900069,목동프라자,37.519508,126.859218
114900070,현대아파트.월드메르디앙아파트,37.538712,126.870358
114900071,신정이펜하우스3.4단지,37.511166,126.830588
114900072,신은초등학교,37.513486,126.833632
114900073,이펜하우스3.4단지,37.511575,126.830252
114900074,수명산입구,37.543414,126.828876
114900075,서남병원,37.511742,126.832599
114900076,서남병원,37.511757,126.832526
