정류장 히트맵,위도,경도,가중치 적용 정류장 점수,주차장 히트맵,가중치 적용 주차장 점수,접근성 지수,정규화된 접근성 지수,rank
1.53298,37.51037247,126.8508025,3.06596,0.0,0.0,3.06596,0.10415433795228404,161.0
0.5376,37.53748858,126.8647162,1.0752,0.24549,1.96392,3.03912,0.10324255096529163,162.0
1.14839,37.53975703,126.8675267,2.29678,0.09247,0.73976,3.03654,0.10315490527131098,163.0
1.40081,37.52399928,126.870489,2.80162,0.02667,0.21336,3.0149800000000004,0.10242248621618592,164.0
0.73194,37.5149559,126.8649072,1.46388,0.18521,1.48168,2.9455600000000004,0.10006420556652071,165.0
1.47046,37.54202542,126.8703375,2.94092,0.0,0.0,2.94092,0.09990657920215242,166.0
1.46712,37.51946244,126.864869,2.93424,0.0,0.0,2.93424,0.09967965159138081,167.0
0.0,37.51486342,126.8479347,0.0,0.36481,2.91848,2.91848,0.09914426549171612,168.0
1.39561,37.50805648,126.839508,2.79122,0.0,0.0,2.79122,0.09482109067932207,169.0
0.00347,37.53281053,126.8336306,0.00694,0.34786,2.78288,2.78982,0.09477353100041784,170.0
1.38814,37.53298205,126.8647544,2.77628,0.0,0.0,2.77628,0.09431356096301555,171.0
1.38417,37.53978721,126.8731861,2.76834,0.0,0.0,2.76834,0.09404382964123015,172.0
1.33889,37.52179094,126.878995,2.67778,0.0,0.0,2.67778,0.09096739784011114,173.0
1.33467,37.51267208,126.859269,2.66934,0.00102,0.00816,2.6775,0.09095788590433031,174.0
1.33854,37.54180752,126.8307207,2.67708,0.0,0.0,2.67708,0.09094361800065905,175.0
1.32675,37.53950586,126.8222518,2.6535,0.0,0.0,2.6535,0.09014257712311502,176.0
0.94285,37.5420103,126.8675077,1.8857,0.09148,0.73184,2.61754,0.08892097279926078,177.0
0.0,37.53499937,126.8222926,0.0,0.31717,2.53736,2.53736,0.08619716204601738,178.0
0.18049,37.53277846,126.8279718,0.36098,0.25929,2.07432,2.4353000000000002,0.08273006145389938,179.0
1.21103,37.54659177,126.8816194,2.42206,0.0,0.0,2.42206,0.08228028277626229,180.0
