정류장 히트맵,위도,경도
1.89864,37.53981712,126.8788456
1.01523,37.54207038,126.8788269
0,37.54432365,126.8788082
0.00121,37.54657692,126.8787895
0,37.54883018,126.8787708
0,37.52631233,126.8817869
0,37.52856561,126.8817683
0,37.53081888,126.8817497
0.20539,37.53307215,126.8817311
3.13537,37.53532543,126.8817125
4.02423,37.5375787,126.8816939
4.907,37.53983197,126.8816753
2.36659,37.54208524,126.8816567
3.96882,37.5443385,126.881638
1.21103,37.54659177,126.8816194
0,37.54884504,126.8816008
0,37.52632711,126.8846161
0,37.52858038,126.8845976
0.00361,37.53083366,126.8845791
0.85753,37.53308693,126.8845605
1.08287,37.53534021,126.884542
2.39859,37.53759348,126.8845235
0.58176,37.53984675,126.884505
0.70584,37.54210002,126.8844865
2.48044,37.54435329,126.8844679
0.06,37.54660656,126.8844494
0,37.52859509,126.8874269
0,37.53084837,126.8874084
0.00016,37.53310164,126.88739
0.9386,37.53535492,126.8873716
0.59318,37.53760819,126.8873531
0,37.53986147,126.8873347
0,37.53086301,126.8902378
0,37.53311629,126.8902195
0.10194,37.53536956,126.8902011
