xcoord,ycoord,facNum,infraNum,,,
941125,1945875,0,0,,,
941125,1946125,5,0.625,,,
941125,1946375,2,0.25,,,
941125,1946625,0,0,,,
941125,1946875,1,0.125,,,
941125,1947125,4,0.5,,,
941125,1947375,3,0.375,,,
941125,1947625,0,0,,,
941125,1947875,1,0.125,,,
941125,1948125,4,0.5,,,
941125,1948375,3,0.375,,,
941125,1948625,0,0,,,
941125,1948875,0,0,,,
941125,1949125,0,0,,,
941125,1949375,1,0.125,,,
941375,1945125,0,0,,,
941375,1945375,0,0,,,
941375,1945625,0,0,,,
941375,1945875,0,0,,,
941375,1946125,0,0,,,
941375,1946375,1,0.125,,,
941375,1946625,4,0.5,,,
941375,1946875,4,0.5,,,
941375,1947125,1,0.125,,,
941375,1947375,0,0,,,
941375,1947625,0,0,,,
941375,1947875,0,0,,,
941375,1948125,1,0.125,,,
941375,1948375,1,0.125,,,
941375,1948625,0,0,,,
941375,1948875,0,0,,,
941625,1945125,0,0,,,
941625,1945375,0,0,,,
941625,1945625,0,0,,,
941625,1945875,0,0,,,
941625,1946125,0,0,,,
941625,1946375,3,0.375,,,
941625,1946625,6,0.75,,,
941625,1946875,3,0.375,,,
941625,1947125,0,0,,,
941625,1947375,2,0.25,,,
941625,1947625,1,0.125,,,
941625,1947875,0,0,,,
941625,1948125,0,0,,,
941875,1945375,0,0,,,
941875,1945625,0,0,,,
941875,1945875,0,0,,,
941875,1946125,0,0,,,
941875,1946375,2,0.25,,,
941875,1946625,6,0.75,,,
941875,1946875,4,0.5,,,
941875,1947125,2,0.25,,,
941875,1947375,4,0.5,,,
941875,1947625,2,0.25,,,
942125,1945375,0,0,,,
942125,1945625,0,0,,,
942125,1945875,0,0,,,
942125,1946125,0,0,,,
942125,1946375,0,0,,,
942125,1946625,0,0,,,
942125,1946875,5,0.625,,,
942125,1947125,2,0.25,,,
942125,1947375,1,0.125,,,
942125,1947625,0,0,,,
942125,1947875,0,0,,,
942375,1945625,0,0,,,
942375,1945875,0,0,,,
942375,1946125,0,0,,,
942375,1946375,0,0,,,
942375,1946625,1,0.125,,,
942375,1946875,1,0.125,,,
942375,1947125,0,0,,,
942375,1947375,0,0,,,
942375,1947625,0,0,,,
942375,1947875,0,0,,,
942625,1945875,0,0,,,
942625,1946125,0,0,,,
942625,1946375,0,0,,,
942625,1946625,0,0,,,
942625,1946875,1,0.125,,,
942625,1947125,5,0.625,,,
942625,1947375,2,0.25,,,
942625,1947625,0,0,,,
942625,1947875,0,0,,,
942875,1945875,1,0.125,,,
942875,1946125,1,0.125,,,
942875,1946375,0,0,,,
942875,1946625,2,0.25,,,
942875,1946875,3,0.375,,,
942875,1947125,6,0.75,,,
942875,1947375,1,0.125,,,
942875,1947625,0,0,,,
942875,1947875,0,0,,,
943125,1945625,0,0,,,
943125,1945875,1,0.125,,,
943125,1946125,1,0.125,,,
943125,1946375,1,0.125,,,
943125,1946625,1,0.125,,,
943125,1946875,2,0.25,,,
943125,1947125,2,0.25,,,
943125,1947375,0,0,,,
943125,1947625,1,0.125,,,
943125,1947875,0,0,,,
943375,1945375,0,0,,,
943375,1945625,0,0,,,
943375,1945875,0,0,,,
943375,1946125,0,0,,,
943375,1946375,2,0.25,,,
943375,1946625,2,0.25,,,
943375,1946875,1,0.125,,,
943375,1947125,3,0.375,,,
943375,1947375,4,0.5,,,
943375,1947625,3,0.375,,,
943375,1947875,0,0,,,
943625,1945375,0,0,,,
943625,1945625,0,0,,,
943625,1945875,0,0,,,
943625,1946125,0,0,,,
943625,1946375,4,0.5,,,
