공원명,공원구분,소재지지번주소,위도,경도,공원면적
논현은행나무공원,어린이공원,서울특별시 강남구 논현동 47-13,37.51259546,127.0224572,1014.5
신사목련공원,어린이공원,서울특별시 강남구 신사동 567-37,37.52291399,127.0258327,1001.1
까치공원,어린이공원,서울특별시 강남구 신사동 597,37.52342193,127.029229,992.9
대치까치공원,어린이공원,서울특별시 강남구 대치동 1014-4,37.496941,127.059198,992.2
역삼무궁화공원,어린이공원,서울특별시 강남구 역삼동 830-23,37.493835,127.032209,991.5
신사개나리공원,어린이공원,서울특별시 강남구 신사동 609-2,37.52567303,127.029443,991.3
역삼소나무공원,어린이공원,서울특별시 강남구 역삼동 836-21,37.49099783,127.0336992,987.3
역삼까치공원,어린이공원,서울특별시 강남구 역삼동 824-10,37.4972618,127.0307401,987.2
논현목련공원,어린이공원,서울특별시 강남구 논현동 137-18,37.5108669,127.0267093,986.0
논현까치공원,어린이공원,서울특별시 강남구 논현동 162-11,37.50852892,127.0250971,956.7
윗방죽마을공원,어린이공원,서울특별시 강남구 율현동 308-29,37.470276,127.104681,935.0
도곡단비소공원,소공원,서울특별시 강남구 도곡동 539-6,37.49389921,127.0472249,896.5
아래반고개공원,어린이공원,서울특별시 강남구 세곡동 129-13,37.463874,127.1071102,863.0
아크로힐스소공원,소공원,서울특별시 강남구 논현동 276-2,37.51003194,127.0395693,800.0
못골공원,어린이공원,서울특별시 강남구 자곡동 447-23,37.473573,127.100181,749.0
반달근린공원,근린공원,서울특별시 강남구 삼성동 7-4,37.5162258,127.0428717,679.3
역삼나들이소공원,소공원,서울특별시 강남구 역삼동 716-5,37.500748,127.0504317,650.0
다솜소공원,소공원,서울특별시 강남구 역삼동 763-18,37.49577558,127.0478708,604.1
역삼미소공원,소공원,서울특별시 강남구 역삼동 711-5,37.50142477,127.0439883,576.0
도곡햇살공원,소공원,서울특별시 강남구 도곡동 538-4,37.49575164,127.0524907,558.5
대치에스케이뷰2 소공원,소공원,서울특별시 강남구 대치동 1029-3,37.49605146,127.0614886,481.0
쟁골공원,어린이공원,서울특별시 강남구 자곡동 233-2,37.48190388,127.1020753,468.0
새뜰근린공원,근린공원,서울특별시 강남구 역삼동 765-30,37.49660384,127.0510177,427.6
아래방죽마을공원,어린이공원,서울특별시 강남구 율현동 194-1,37.473276,127.1082321,386.0
궁마을공원,어린이공원,서울특별시 강남구 수서동 465-15,37.484831,127.0994148,306.0
대치에스케이뷰1 소공원,소공원,서울특별시 강남구 대치동 1029-2,37.49576505,127.0595115,302.0
도곡동 426-9(로덴하우스)소공원,소공원,서울특별시 강남구 도곡동 462-9,37.48560304,127.0460585,80.0
